lankomumas_proc,savarankisko_mokymosi_val,streso_lygis,darbo_valandos,miego_valandos,socialiniu_tinklu_val,studiju_vidurkis,dvyliktos_klases_vidurkis,brandos_egzaminas_1,brandos_egzaminas_2,brandos_egzaminas_3,finansinis_stresas,ketinu_mesti_studijas,rizika
90.0,18.0,3.0,12.0,10.0,4.0,8.0,7.0,70.0,60.0,50.0,3.0,1.0,0
100.0,5.0,4.0,0.0,8.0,4.0,7.0,7.0,59.0,60.0,56.0,3.0,1.0,0
90.0,23.0,3.0,8.0,9.0,4.0,8.0,9.0,84.0,70.0,73.0,3.0,2.0,0
100.0,0.0,3.0,28.0,8.0,2.0,0.0,8.0,40.0,46.0,85.0,2.0,1.0,0
75.0,19.0,2.0,12.0,9.0,4.0,7.0,8.0,69.0,71.0,71.0,3.0,1.0,0
91.0,22.0,3.0,15.0,6.0,4.0,9.0,7.0,74.0,65.0,81.0,1.0,2.0,0
84.0,32.0,3.0,0.0,6.0,4.0,9.0,8.0,79.0,45.0,78.0,3.0,1.0,0
72.0,18.0,3.0,0.0,9.0,4.0,7.0,9.0,83.0,86.0,73.0,3.0,1.0,0
90.0,17.0,3.0,0.0,7.0,4.0,6.4,8.0,45.0,40.0,45.0,3.0,1.0,0
70.0,27.0,2.0,0.0,6.0,4.0,8.0,6.0,67.0,92.0,91.0,3.0,2.0,0
95.0,31.0,3.0,0.0,8.0,3.0,5.0,7.0,91.0,70.0,55.0,1.0,1.0,0
85.0,28.0,3.0,0.0,8.0,4.0,9.8,9.0,87.0,92.0,74.0,4.0,1.0,0
80.0,33.0,1.0,0.0,6.0,4.0,6.0,6.6,92.0,45.0,89.0,3.0,2.0,0
95.0,40.0,3.0,0.0,6.0,4.0,6.0,6.0,90.0,89.0,74.0,3.0,3.0,0
70.0,17.0,2.0,15.0,6.0,4.0,9.0,9.0,88.0,78.0,74.0,3.0,3.0,0
85.0,27.0,3.0,12.0,7.0,4.0,8.0,7.6,84.0,86.0,89.0,1.0,3.0,0
80.0,34.0,3.0,0.0,9.0,4.0,7.0,6.7,74.0,85.0,84.0,3.0,1.0,0
80.0,16.0,2.0,0.0,7.0,4.0,7.0,7.0,89.0,92.0,92.0,3.0,1.0,0
75.0,23.0,3.0,0.0,6.0,4.0,9.0,6.5,70.0,85.0,82.0,1.0,1.0,0
80.0,29.0,3.0,10.0,6.0,5.0,5.0,7.0,81.0,80.0,90.0,4.0,1.0,0
85.0,31.0,1.0,0.0,8.0,4.0,9.0,8.7,71.0,84.0,69.0,3.0,1.0,0
75.0,38.0,3.0,12.0,9.0,4.0,6.0,9.0,72.0,55.0,70.0,3.0,1.0,0
75.0,20.0,2.0,0.0,6.0,4.0,5.0,7.0,81.0,60.0,92.0,3.0,1.0,0
75.0,16.0,3.0,0.0,7.0,4.0,8.0,8.7,69.0,72.0,90.0,1.0,1.0,0
95.0,17.0,3.0,0.0,9.0,4.0,7.0,7.0,82.0,69.0,78.0,3.0,1.0,0
95.0,28.0,2.0,15.0,7.0,4.0,7.0,8.0,65.0,78.0,73.0,3.0,1.0,0
75.0,31.0,3.0,0.0,9.0,4.0,6.0,8.6,87.0,82.0,78.0,1.0,1.0,0
95.0,29.0,3.0,0.0,9.0,4.0,7.0,7.5,76.0,87.0,69.0,4.0,2.0,0
85.0,36.0,1.0,0.0,8.0,4.0,8.0,9.0,60.0,73.0,55.0,3.0,1.0,0
100.0,5.0,5.0,20.0,10.0,5.0,8.0,9.0,45.0,73.0,50.0,5.0,1.0,0
100.0,5.0,4.0,30.0,8.0,2.0,0.0,8.0,67.0,58.0,87.0,3.0,1.0,0
70.0,29.0,3.0,0.0,6.0,4.0,7.0,8.0,40.0,65.0,91.0,3.0,1.0,0
75.0,32.0,2.0,0.0,8.0,4.0,9.0,8.0,67.0,60.0,84.0,3.0,1.0,0
90.0,15.0,3.0,0.0,6.0,4.0,8.0,6.0,81.0,45.0,77.0,1.0,1.0,0
80.0,22.0,3.0,0.0,6.0,4.0,5.0,8.0,88.0,84.0,69.0,4.0,1.0,0
80.0,40.0,1.0,0.0,8.0,4.0,9.0,8.0,70.0,85.0,55.0,3.0,1.0,0
80.0,38.0,4.0,0.0,10.0,4.0,8.0,9.0,77.0,84.0,78.0,4.0,1.0,0
85.0,28.0,3.0,0.0,8.0,5.0,9.0,8.0,84.0,82.0,50.0,1.0,1.0,0
95.0,40.0,3.0,0.0,6.0,4.0,9.0,8.0,74.0,79.0,87.0,5.0,1.0,0
85.0,22.0,1.0,15.0,6.0,4.0,8.0,7.0,92.0,68.0,76.0,2.0,2.0,0
